latitude;longitude;intersection;nb_traversees;equipe;ordre
48.811447791;2.300160817;13622245811;1;1;1
48.811981488;2.300801906;13622245811;1;1;2
48.8125485;2.3021547;280948701;1;1;3
48.8110412;2.3026544;8046471123;1;1;4
48.8111465;2.3027458;5536126564;1;1;5
48.8112478;2.3028573;8046471124;1;1;6
48.8114778;2.303013;3759989277;1;1;7
48.8116077;2.303149;3759989279;1;1;8
48.8119254;2.3034001;280737061;2;1;9
48.8119743;2.3034416;2769405967;1;1;10
48.8111111;2.303171;7900253897;1;1;11
48.8116674;2.3034657;3759989281;0;1;12
48.8161159;2.3057339;4284740308;1;1;13
48.816263;2.3058899;3609100822;1;1;14
48.8119503;2.3039797;4564848105;0;1;15
48.8135563;2.3047872;268400840;4;1;16
48.8141577;2.3052988;268400809;3;1;17
48.8110307;2.3041388;10572510175;0;1;18
48.8127018;2.3052946;268401706;3;1;19
48.8109773;2.304795;13622245811;0;1;20
48.8130995;2.3059873;268400853;5;1;21
48.8133553;2.3064323;2421609837;0;1;22
48.8135816;2.306821;268400838;5;1;23
48.8109146;2.3055361;5866048265;1;1;24
48.8138187;2.3072343;268400765;1;1;25
48.8139174;2.3074059;3680279821;1;1;26
48.8124349;2.307745;968282853;1;1;27
48.8106683;2.3079119;2915134593;2;1;28
48.8114475;2.3085998;268401679;1;1;29
48.8219226;2.3136878;9107731289;0;2;1
48.8201956;2.3132492;268401021;1;2;2
48.8220753;2.3139115;11613771245;0;2;3
48.8209602;2.3138095;268401381;2;2;4
48.8194828;2.314015;419330071;2;2;5
48.8200069;2.3142377;268401390;4;2;6
48.82052;2.3144559;268401385;1;2;7
48.8201566;2.3162809;1927755540;1;2;8
48.8201352;2.3164051;1927755536;1;2;9
48.8174085;2.3155895;6603655863;2;2;10
48.8190605;2.316244;39861002;5;2;11
48.8195958;2.3165044;268401020;1;2;12
48.8197954;2.3166059;2066694566;2;2;13
48.8198746;2.3166479;2066694570;1;2;14
48.8200664;2.3167371;295496799;2;2;15
48.8204912;2.3169402;2074470013;0;2;16
48.8196821;2.3171114;2066694509;0;2;17
