intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5
27373654 / 8249786311,48.8518297,2.2054776,2,48.8516915,2.205459,48.8517168,2.2053461,,,,,,
27373680,48.8506426,2.2042451,0,,,,,,,,,,
83043867,48.8499963,2.1978303,3,48.8499648,2.1979992,48.8500419,2.197851,48.85003,2.1976492,,,,
83043871,48.8497955,2.198767,1,48.849849,2.1988089,,,,,,,,
83043872,48.8510243,2.1997337,1,48.8509706,2.1996884,,,,,,,,
83051596 / 83051597 / 83051598,48.8474699,2.1979979,1,48.84752,2.1980968,,,,,,,,
83058753,48.8402469,2.1926901,1,48.8402469,2.1926901,,,,,,,,
83058763 / 497498104,48.8398045,2.1909221,1,48.8398857,2.1910725,,,,,,,,
83058781 / 2408678012,48.8384869,2.1718005,2,48.8384838,2.1715892,48.8386451,2.171798,,,,,,
83058784,48.8384337,2.1712416,1,48.8385046,2.1712159,,,,,,,,
204014692,48.8428311,2.1713946,0,,,,,,,,,,
204025012 / 459811632 / 459811637 / 459811639 / 923035204,48.84704,2.1817998,4,48.8469802,2.1816461,48.8470141,2.1819001,48.8472193,2.1817991,48.847209,2.1818397,,
237157358,48.8449114,2.1982838,0,,,,,,,,,,
237164541,48.843636,2.1989778,1,48.8435589,2.1989831,,,,,,,,
255027677,48.8468784,2.1952101,1,48.8469677,2.1952014,,,,,,,,
255027679,48.8469722,2.1942247,0,,,,,,,,,,
255027682,48.8466329,2.1927727,1,48.8467029,2.1927035,,,,,,,,
255027683,48.8464825,2.19221,2,48.846424,2.1922425,48.8465239,2.192369,,,,,,
255027688,48.8458673,2.1892684,2,48.8459016,2.1894409,48.8459444,2.189278,,,,,,
255027691 / 7692413992 / 12500686266,48.8456556,2.1884435,0,,,,,,,,,,
255027696,48.8457284,2.1873896,0,,,,,,,,,,
255027788,48.8495139,2.1871614,0,,,,,,,,,,
255027792,48.8505043,2.1852948,2,48.8503976,2.1852894,48.8504755,2.185354,,,,,,
255027857,48.8464259,2.1893256,1,48.8464559,2.1892103,,,,,,,,
255027862,48.847813,2.1896629,2,48.847831,2.189624,48.8478391,2.1897013,,,,,,
255027876,48.8507158,2.1907496,2,48.8506495,2.1906856,48.8506642,2.1907962,,,,,,
255027879 / 2277726037,48.8514718,2.1915031,2,48.8513939,2.1914265,48.8514442,2.1916383,,,,,,
255027978,48.8486835,2.1877591,0,,,,,,,,,,
255027982,48.8492081,2.1868848,0,,,,,,,,,,
255028189,48.8476745,2.1841006,4,48.8476533,2.1840829,48.8476585,2.18418,48.8477238,2.1841424,48.84769,2.1840332,,
255028192,48.8480595,2.1824286,1,48.8480399,2.1825139,,,,,,,,
255028212 / 370315993 / 370317080,48.8450129,2.1867274,3,48.8449613,2.1866699,48.8450556,2.1867706,48.8450715,2.1866707,,,,
255028260,48.8466542,2.1832511,1,48.8467053,2.1832936,,,,,,,,
255028295,48.8485574,2.1854618,0,,,,,,,,,,
255028377,48.8527621,2.1947588,1,48.8527154,2.1948981,,,,,,,,
255028378,48.8529181,2.1951134,1,48.8529638,2.1952425,,,,,,,,
255028417,48.8501429,2.2028786,1,48.8501576,2.2028048,,,,,,,,
255028418,48.8502588,2.2022948,2,48.8503152,2.2023347,48.8502818,2.2021921,,,,,,
255028551,48.8455248,2.1936775,0,,,,,,,,,,
255028559,48.8453138,2.1955758,1,48.8452785,2.1955638,,,,,,,,
255028561,48.8452601,2.1962046,2,48.8453224,2.1962064,48.8452646,2.1961512,,,,,,
255028564,48.8452397,2.1981339,1,48.8452376,2.1980575,,,,,,,,
297329189,48.8510024,2.2028204,1,48.851022,2.2027603,,,,,,,,
297332024,48.8513939,2.1987888,2,48.8513338,2.1987339,48.851344,2.1989167,,,,,,
297333394,48.8511718,2.1926669,0,,,,,,,,,,
297334950,48.8496467,2.199317,2,48.8496963,2.1991426,48.8496003,2.1992387,,,,,,
297335233,48.8479408,2.1990189,1,48.8479908,2.198988,,,,,,,,
297335416,48.8491686,2.1985094,0,,,,,,,,,,
370315456,48.8438348,2.1912396,1,48.8438643,2.1912587,,,,,,,,
370315460,48.8452512,2.1933865,0,,,,,,,,,,
370315461,48.8449586,2.193815,1,48.8448888,2.1938214,,,,,,,,
370315496,48.842454,2.1924164,3,48.8424376,2.1924899,48.8424656,2.1923599,48.842498,2.1924345,,,,
370315500,48.8409411,2.1910202,0,,,,,,,,,,
370315591,48.8411774,2.1908068,0,,,,,,,,,,
370315593,48.8416681,2.1881918,2,48.8416501,2.1882478,48.8417481,2.1882554,,,,,,
370315594 / 370317170,48.842691,2.1864271,4,48.8426988,2.1863182,48.8425971,2.1865746,48.8425071,2.186377,48.8428125,2.1864628,,
370315597,48.8406202,2.1904526,0,,,,,,,,,,
370315599,48.8414038,2.1895891,0,,,,,,,,,,
370315648,48.8397969,2.1882793,0,,,,,,,,,,
