intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5,latitude_pp6,longitude_pp6
100299474,48.7821035,2.3276565,2,48.7820932,2.3277363,48.7819826,2.3276563,,,,,,,,
100299478 / 100299716 / 100299717 / 100299719 / 100299720 / 348095897 / 348095906,48.7794962,2.3280369,5,48.7794772,2.3282125,48.7796483,2.328021,48.7795667,2.3278483,48.7794653,2.3281814,48.7793815,2.3282198,,
100300379,48.7787477,2.328017,1,48.7787265,2.3281278,,,,,,,,,,
100300380,48.7782604,2.3278188,2,48.778227,2.327923,48.778312,2.3278399,,,,,,,,
100300384 / 6790257067 / 6790257072,48.7754142,2.3263534,4,48.7752929,2.3263045,48.7754601,2.3262302,48.775387,2.3265377,48.7755488,2.3262379,,,,
100300385,48.7750042,2.3260871,0,,,,,,,,,,,,
100300861,48.7799048,2.3250203,4,48.7798402,2.324975,48.7798856,2.3251634,48.7799633,2.325084,48.7799216,2.3249143,,,,
100301152,48.7790374,2.332619,1,48.7790454,2.3328149,,,,,,,,,,
100301696,48.7806754,2.3314102,4,48.7806248,2.3314123,48.780642,2.3313218,48.7807278,2.331398,48.7807204,2.3315296,,,,
100301697 / 11215770599,48.7813879,2.3333506,4,48.7814324,2.3332343,48.7813167,2.3333884,48.781357,2.3332177,48.7814796,2.3333655,,,,
100301935,48.7818945,2.3287524,0,,,,,,,,,,,,
100301938 / 3810924299,48.7791379,2.3311137,1,48.7791972,2.3311463,,,,,,,,,,
100301999,48.780202,2.3279392,2,48.7802921,2.3279224,48.7802094,2.3280156,,,,,,,,
100302046,48.7812922,2.3309513,1,48.7812732,2.3309002,,,,,,,,,,
100302079,48.7805449,2.3289649,1,48.7805905,2.3289577,,,,,,,,,,
100302866 / 100302982 / 100302985,48.7789238,2.327102,0,,,,,,,,,,,,
100303407,48.7791538,2.330593,3,48.7791054,2.3305683,48.7791548,2.3304782,48.7791533,2.3306482,,,,,,
100303598 / 554341778 / 1833987035,48.7771085,2.3288397,0,,,,,,,,,,,,
100303790,48.7777179,2.3295143,2,48.7777666,2.3293734,48.7776096,2.329389,,,,,,,,
100303820 / 3153743497 / 3153743498,48.7764528,2.330348,0,,,,,,,,,,,,
100303823 / 3153743474,48.775688,2.3304492,0,,,,,,,,,,,,
100303824 / 2106630349,48.7748722,2.3299819,1,48.7748592,2.329925,,,,,,,,,,
100303827,48.7742801,2.3314422,3,48.7742037,2.3313801,48.7742578,2.3315534,48.7743087,2.3313116,,,,,,
160193390,48.7789352,2.3659441,0,,,,,,,,,,,,
173857838,48.7665942,2.3188398,0,,,,,,,,,,,,
173858005 / 317132512,48.7739702,2.3247333,0,,,,,,,,,,,,
241587218,48.7672397,2.3343468,0,,,,,,,,,,,,
241587219,48.7658186,2.3336634,1,48.7658366,2.3335814,,,,,,,,,,
241601393,48.7746345,2.3547429,2,48.7747145,2.3548736,48.7747113,2.3546461,,,,,,,,
243991926 / 1683534120,48.7735514,2.3358657,1,48.7735755,2.3356886,,,,,,,,,,
243991927 / 1683826408 / 8774053447,48.7706639,2.3336916,1,48.7706898,2.3335901,,,,,,,,,,
243991929,48.7677424,2.3321423,1,48.7677969,2.3321751,,,,,,,,,,
243992371,48.767876,2.3315826,2,48.7677878,2.3315218,48.7678583,2.3316597,,,,,,,,
243993808 / 317131965,48.7721754,2.3348512,0,,,,,,,,,,,,
243995273 / 560853428,48.776352,2.3400075,1,48.776243,2.3399723,,,,,,,,,,
243995274 / 313958870,48.7784168,2.3406046,4,48.7785461,2.3407698,48.7785607,2.3406426,48.7783148,2.3405751,48.778431,2.3404659,,,,
267241971,48.765733,2.3277738,2,48.7657628,2.3277788,48.7657018,2.3279051,,,,,,,,
297978605 / 313958189 / 316221334 / 316221335,48.7822221,2.3411902,6,48.7820613,2.3411889,48.782366,2.3413453,48.782313,2.3410802,48.7820859,2.3413134,48.7824038,2.341214,48.7822537,2.3410864
301439041,48.7753788,2.3268863,0,,,,,,,,,,,,
301439042 / 10008553077,48.7756334,2.3258094,0,,,,,,,,,,,,
301460405 / 316221161,48.7846635,2.3474754,0,,,,,,,,,,,,
301460474 / 313958183 / 5766318530 / 7711404213,48.7808397,2.3411495,4,48.7807342,2.3411204,48.780785,2.3412567,48.7808378,2.3410509,48.7807959,2.341049,,,,
301461028 / 560853445 / 560853448 / 11337924869,48.778291,2.3416276,3,48.778242,2.3416101,48.7782132,2.3417787,48.7782981,2.3415839,,,,,,
301461057,48.7760567,2.3536061,3,48.7759909,2.3535495,48.7760899,2.3535451,48.7761906,2.3537211,,,,,,
301461074 / 1680000258,48.7758018,2.353381,1,48.7756967,2.3535029,,,,,,,,,,
301463233,48.7784725,2.3351518,2,48.7784402,2.3352134,48.7785673,2.3352406,,,,,,,,
301463423,48.7763456,2.3389725,2,48.7764216,2.3389826,48.7763294,2.3388707,,,,,,,,
301463425 / 826674978 / 5982236105,48.7789218,2.335509,4,48.7790768,2.335385,48.7789403,2.3356357,48.7788465,2.3354914,48.7790439,2.3354677,,,,
301463428 / 317773427,48.7807141,2.3350498,3,48.7808469,2.3349343,48.7805894,2.3352037,48.7807184,2.3349528,,,,,,
301463431,48.7834191,2.3339808,3,48.7833606,2.3339916,48.7835678,2.3339533,48.7834572,2.3340625,,,,,,
