intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4
367672,48.817059,2.3314258,1,48.8171371,2.3314384,,,,,,
367684,48.8185092,2.3196067,2,48.8186083,2.3196701,48.81848,2.3197675,,,,
21305930,48.8107542,2.3267228,0,,,,,,,,
21389562,48.8180247,2.322317,4,48.8180079,2.3224687,48.8180365,2.3221456,48.8181174,2.3224329,48.8179198,2.3222021
36427060,48.8170961,2.3216637,2,48.8171517,2.3217027,48.8171133,2.3215951,,,,
36427061,48.8176949,2.3191031,2,48.8176785,2.3191784,48.8177707,2.3191498,,,,
36427158,48.8173296,2.3188779,1,48.8174255,2.3189372,,,,,,
36427530,48.8167147,2.3214366,4,48.8167273,2.3213471,48.8166282,2.3213707,48.8167997,2.3214896,48.8167053,2.3215119
36427531,48.8163701,2.3234382,2,48.8164099,2.3234549,48.8163565,2.3235107,,,,
36427532,48.81599,2.3256386,1,48.8159931,2.3254868,,,,,,
36427589,48.8148446,2.3192766,3,48.8148252,2.3193476,48.814874,2.3191731,48.8147915,2.3192467,,
36427630,48.8145023,2.3205027,4,48.8144416,2.3204632,48.8144844,2.3205788,48.8145249,2.320415,48.8145666,2.3205474
36427725,48.8153211,2.3176252,4,48.8152614,2.3175887,48.8153469,2.3175338,48.8152943,2.3177148,48.8153941,2.3176705
36427726,48.8157648,2.3160064,2,48.8157892,2.3159166,48.8157169,2.3159751,,,,
39858293,48.8119878,2.3155785,4,48.8119401,2.3155502,48.8119697,2.3156531,48.8120195,2.3154618,48.8120406,2.3156099
39858295,48.8128132,2.3160852,2,48.8127914,2.3161648,48.8128476,2.3159607,,,,
39858296,48.8139384,2.3167778,4,48.8138884,2.316745,48.8139173,2.3168614,48.8139674,2.3166732,48.8139978,2.3168153
39858300,48.8163043,2.3182341,0,,,,,,,,
39859736,48.8191272,2.3206966,1,48.8191807,2.3207321,,,,,,
39859737,48.819293,2.3200937,1,48.8192623,2.3202061,,,,,,
39860190,48.8191928,2.3191944,1,48.8192029,2.3192847,,,,,,
39861002,48.8190605,2.316244,4,48.8191086,2.3162632,48.8189804,2.316317,48.8190242,2.3164274,48.8190889,2.3160915
39861004,48.8196931,2.3128846,4,48.8197968,2.312952,48.8196707,2.313041,48.8197127,2.3127612,48.8196263,2.312846
100295053,48.8123536,2.3276624,0,,,,,,,,
100295067,48.8121246,2.3262748,1,48.8121586,2.3264172,,,,,,
