intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5
30677967,48.8248041,2.2818471,2,48.8246653,2.2820197,48.8245846,2.2818254,,,,,,
30677968,48.8220354,2.2852815,2,48.822133,2.2853608,48.8221397,2.2850971,,,,,,
30732893,48.8230694,2.281573,0,,,,,,,,,,
30732894,48.8234216,2.2822894,3,48.82341,2.2823702,48.8232951,2.2822961,48.8233808,2.2822065,,,,
30733085,48.8226751,2.282292,0,,,,,,,,,,
30733088,48.8216618,2.2817755,2,48.8217227,2.2818369,48.8216042,2.2818459,,,,,,
30793840,48.8232481,2.2825933,1,48.8231688,2.2825534,,,,,,,,
30793841,48.8216502,2.2843176,3,48.8215985,2.284326,48.8216683,2.284387,48.8216919,2.2842729,,,,
129500041,48.8221993,2.2837283,2,48.8223158,2.2836022,48.8222362,2.2838011,,,,,,
129500123,48.8226061,2.2845313,1,48.8225648,2.2844499,,,,,,,,
132763858,48.8262976,2.286238,0,,,,,,,,,,
132763861,48.8252457,2.286994,2,48.8251469,2.2870593,48.8252838,2.2871418,,,,,,
132763862,48.8242448,2.2876107,2,48.8242751,2.2876711,48.8243375,2.287553,,,,,,
132763868,48.8232197,2.2882312,2,48.8231723,2.2882932,48.8231807,2.2881598,,,,,,
132763871,48.8233544,2.2885026,1,48.8234119,2.2886051,,,,,,,,
132764930,48.8236348,2.2890197,1,48.8235882,2.2890645,,,,,,,,
132764932,48.8240775,2.2898795,1,48.8240331,2.2899313,,,,,,,,
132764934,48.8242911,2.290303,1,48.8243294,2.2902441,,,,,,,,
132764941,48.8253494,2.2923621,1,48.8253168,2.2922992,,,,,,,,
132765470,48.825466,2.2925431,0,,,,,,,,,,
132765471,48.8254807,2.2924599,1,48.8255617,2.2924471,,,,,,,,
132765473,48.8254427,2.2923626,1,48.8254662,2.2922563,,,,,,,,
132765474,48.8253135,2.2924916,0,,,,,,,,,,
132765476,48.8253648,2.2925894,1,48.8253292,2.2927778,,,,,,,,
132766559,48.8272038,2.2918492,0,,,,,,,,,,
132766569,48.8259962,2.2898674,2,48.8259839,2.2899383,48.8260567,2.2899298,,,,,,
132766574,48.8256723,2.2886498,2,48.8256179,2.2887197,48.8257053,2.2887782,,,,,,
132770081,48.8202192,2.2907284,0,,,,,,,,,,
132770082,48.820268,2.2909358,0,,,,,,,,,,
132770087,48.8204648,2.2906621,0,,,,,,,,,,
132770089,48.8203827,2.2905736,0,,,,,,,,,,
132779908,48.821973,2.2938104,4,48.821922,2.293882,48.821935,2.2937447,48.8220139,2.2938802,48.822007,2.2937532,,
132779918,48.8247634,2.2995577,1,48.8246598,2.299639,,,,,,,,
173850049,48.8229027,2.2923625,4,48.8228473,2.2924425,48.8229457,2.2922854,48.8229758,2.2924135,48.8228207,2.2923027,,
173857075,48.823853,2.2930057,3,48.8236658,2.2928948,48.823932,2.2930022,48.8239002,2.293106,,,,
176734824,48.824814,2.2955223,0,,,,,,,,,,
