latitude;longitude;nb_pp
48.8518297;2.2054776;2
48.8506426;2.2042451;0
48.8499963;2.1978303;3
48.8497955;2.198767;1
48.8510243;2.1997337;1
48.8474699;2.1979979;1
48.8402469;2.1926901;1
48.8398045;2.1909221;1
48.8384869;2.1718005;2
48.8384337;2.1712416;1
48.8428311;2.1713946;0
48.84704;2.1817998;4
48.8449114;2.1982838;0
48.843636;2.1989778;1
48.8468784;2.1952101;1
48.8469722;2.1942247;0
48.8466329;2.1927727;1
48.8464825;2.19221;2
48.8458673;2.1892684;2
48.8456556;2.1884435;0
48.8457284;2.1873896;0
48.8495139;2.1871614;0
48.8505043;2.1852948;2
48.8464259;2.1893256;1
48.847813;2.1896629;2
48.8507158;2.1907496;2
48.8514718;2.1915031;2
48.8486835;2.1877591;0
48.8492081;2.1868848;0
48.8476745;2.1841006;4
48.8480595;2.1824286;1
48.8450129;2.1867274;3
48.8466542;2.1832511;1
48.8485574;2.1854618;0
48.8527621;2.1947588;1
48.8529181;2.1951134;1
48.8501429;2.2028786;1
48.8502588;2.2022948;2
48.8455248;2.1936775;0
48.8453138;2.1955758;1
48.8452601;2.1962046;2
48.8452397;2.1981339;1
48.8510024;2.2028204;1
48.8513939;2.1987888;2
48.8511718;2.1926669;0
48.8496467;2.199317;2
48.8479408;2.1990189;1
48.8491686;2.1985094;0
48.8438348;2.1912396;1
48.8452512;2.1933865;0
48.8449586;2.193815;1
48.842454;2.1924164;3
48.8409411;2.1910202;0
48.8411774;2.1908068;0
48.8416681;2.1881918;2
48.842691;2.1864271;4
48.8406202;2.1904526;0
48.8414038;2.1895891;0
48.8397969;2.1882793;0
48.8403247;2.1879592;2
48.8428486;2.1889263;1
48.8439639;2.1894799;3
48.841988;2.1963282;2
48.8421343;2.1873598;3
48.8401409;2.1867811;0
48.839995;2.1821807;0
48.8409367;2.1859415;2
48.8414532;2.1820951;1
48.845198;2.1846106;2
48.8453826;2.1836031;0
48.8463674;2.1810964;0
48.8436748;2.1849648;2
48.8441288;2.1854286;1
48.8410976;2.1816759;4
48.838202;2.1785396;2
48.8425062;2.1836529;0
48.843406;2.1846972;3
48.8437208;2.1834864;0
48.8442764;2.1837607;1
48.843894;2.182568;0
48.8434033;2.1815651;0
48.8416544;2.1824415;2
48.8416893;2.1720289;5
48.8413851;2.1781028;2
48.8421251;2.1781405;3
48.8430531;2.1744065;0
48.8415834;2.1742412;4
48.8398487;2.1740405;1
48.8408634;2.1785505;0
48.8399;2.1736124;0
48.8436156;2.1781865;0
48.839189;2.1795605;0
48.8390887;2.1781411;0
48.8394861;2.1779236;0
48.8403997;2.17629;0
48.8483201;2.1904083;4
48.8469392;2.1893415;1
48.847213;2.1862261;1
48.8443572;2.1882448;0
48.8431502;2.1865843;1
48.8447519;2.1872039;1
48.8411175;2.1965495;1
48.8429783;2.1954691;1
48.8469776;2.1962535;2
48.8436567;2.1922996;1
48.8439735;2.1931921;0
48.8436328;2.1867168;0
48.8485259;2.1828363;1
48.8444627;2.1986822;0
48.8392637;2.1886343;1
48.8400037;2.1918888;1
48.8388891;2.1875697;0
48.8429081;2.1841376;2
48.8435067;2.1853789;0
48.8399786;2.1857396;4
48.8446124;2.1868199;2
48.8409324;2.1717232;3
48.8408917;2.1724716;0
48.839418;2.1718879;0
48.8458722;2.1852234;0
48.843532;2.1928602;3
48.8382092;2.1810816;0
48.8405214;2.1935892;1
48.8463084;2.1939392;0
48.8463651;2.1945511;0
48.8468883;2.1937372;1
48.8475413;2.1820459;0
48.8461721;2.1924826;1
48.8520391;2.1969615;2
48.8515723;2.1909292;0
48.84659;2.1886953;0
48.8546009;2.1977253;2
48.8382568;2.1820847;1
48.8466002;2.1978207;0
48.847312;2.1975897;1
48.8412345;2.1916603;0
48.8382849;2.1703809;2
48.8414661;2.1920248;1
48.851276;2.1922422;1
48.8506945;2.1943928;0
48.8428077;2.1900227;0
48.8478704;2.1913013;0
48.8423101;2.1863232;0
48.8519617;2.2049588;0
48.841508;2.19855;1
48.8427864;2.199084;1
48.8481161;2.1908155;0
48.8458187;2.1877894;0
48.8522679;2.1963491;1
48.8386709;2.1866881;3
48.8384048;2.1866047;2
48.8379835;2.1687119;1
48.8415204;2.175467;0
48.8414548;2.1767454;0
48.8427027;2.1770442;1
48.8442936;2.1816351;0
48.8413351;2.1795187;3
48.84484698;2.186514003;1
48.838624382;2.18655836;1
48.838550217;2.186594275;1
48.838472731;2.186689517;1
48.838615996;2.186592231;1
48.838607644;2.186660895;1
48.838559492;2.18683169;1
48.838531363;2.18670339;1
48.838458638;2.186682552;1
48.849009323;2.201078516;1
