equipe,coordonnees,intersection,ordre,traversee,nb_traversee_reel,bande_de_guidage,bande_eveil,feu_parlant,commentaire
3,"48.81203335,2.311339709",Rue Hippolyte Mulin / Rue Molière / Rue Molière / Rue Hippolyte Mulin,1,1,,,,,
3,"48.81203335,2.311339709",Rue Hippolyte Mulin / Rue Molière / Rue Molière / Rue Hippolyte Mulin,1,2,4,0,8,0,
3,"48.811149599,2.310528701",Rue de Chateaubriand / Rue Hippolyte Mulin,2,1,,,,,
3,"48.811149599,2.310528701",Rue de Chateaubriand / Rue Hippolyte Mulin,2,2,,,,,
3,"48.811149599,2.310528701",Rue de Chateaubriand / Rue Hippolyte Mulin,2,3,,,,,
3,"48.811149599,2.310528701",Rue de Chateaubriand / Rue Hippolyte Mulin,2,4,2,0,4,0,
3,"48.81146975,2.30974778",Rue de Chateaubriand / Rue Raoul Pugno,3,1,,,,,
3,"48.81146975,2.30974778",Rue de Chateaubriand / Rue Raoul Pugno,3,2,3,0,6,0,
3,"48.811828321,2.308924202",Rue de Chateaubriand / Rue Maurice Arnoux D59 / Rue Roger Salengro / Rue Maurice Arnoux D59,4,1,,,,,
3,"48.811828321,2.308924202",Rue de Chateaubriand / Rue Maurice Arnoux D59 / Rue Roger Salengro / Rue Maurice Arnoux D59,4,2,,,,,
3,"48.811828321,2.308924202",Rue de Chateaubriand / Rue Maurice Arnoux D59 / Rue Roger Salengro / Rue Maurice Arnoux D59,4,3,,,,,
3,"48.811828321,2.308924202",Rue de Chateaubriand / Rue Maurice Arnoux D59 / Rue Roger Salengro / Rue Maurice Arnoux D59,4,4,3,0,5,0,Le 4eme pp ancien n'existe plus (ancienne trace)
3,"48.811454572,2.308585216",Rue du Poitou / Rue Maurice Arnoux D59,5,1,,,,,
3,"48.811454572,2.308585216",Rue du Poitou / Rue Maurice Arnoux D59,5,2,1,0,2,0,Même chose que précédemment 
3,"48.810623383,2.308700918",Avenue Marx Dormoy D62 / Avenue de la République D63 / Rue Raoul Pugno / Avenue Marx Dormoy D62,6,1,1,0,2,0,
3,"48.810671617,2.307909791",Rue Maurice Arnoux D59 / Avenue Marx Dormoy D62,7,1,,,,,
3,"48.810671617,2.307909791",Rue Maurice Arnoux D59 / Avenue Marx Dormoy D62,7,2,,,,,
3,"48.810671617,2.307909791",Rue Maurice Arnoux D59 / Avenue Marx Dormoy D62,7,3,,,,,
3,"48.810671617,2.307909791",Rue Maurice Arnoux D59 / Avenue Marx Dormoy D62,7,4,4,0,8,4,
3,"48.813037968,2.308236108",Rue Jules Chèret / Rue Jules Guesde / Rue Jules Guesde / Rue Jules Chèret,10,1,,,,,
