longitude;latitude;intersection;Ville/Commune;equipe;pp_detecte;pp_confiance;nb_traversees;pp_image_ok;pp_erreur
2.178574511;48.838244625;Avenue André Guillaume / Boulevard Raymond Poincaré D907 / Avenue André Guillaume / Rue Pasteur / Rue Pasteur / Boulevard Raymond Poincaré D907;Garches, Hauts-de-Seine;3;False;0.0;0;True;
2.17950444;48.8391681;Avenue Casimir Davaine / Rue Pasteur;Garches, Hauts-de-Seine;3;False;0.0;0;True;
2.186438811;48.842677932;Avenue d'Alsace / Avenue Foch / Avenue d'Alsace / Rue Georges Clemenceau / Avenue Foch / Avenue du Maréchal Leclerc / Avenue Foch / Rue de l'Abreuvoir / Rue Georges Clemenceau / Avenue Foch;Garches, Hauts-de-Seine;1;True;0.62;5;True;
2.184629247;48.845207116;Avenue de Beauval / Avenue des Coteaux / Avenue des Coteaux / Avenue de Beauval;Garches, Hauts-de-Seine;1;True;0.55;1;True;
2.17958393;48.841306214;Avenue de Brétigny / Avenue Brézin / Avenue Henri Bergson / Avenue Brézin / Avenue Henri Bergson / Avenue de Brétigny;Garches, Hauts-de-Seine;3;True;0.48;6;True;
2.182423611;48.841659417;Avenue de la Bedoyere / Grande Rue;Garches, Hauts-de-Seine;3;True;0.41;3;True;
2.187364881;48.842130147;Avenue de Lorraine / Avenue d'Alsace;Garches, Hauts-de-Seine;1;True;0.57;3;True;
2.18906415;48.844046988;Avenue de Lorraine / Grande Rue;Garches, Hauts-de-Seine;4;True;0.51;7;True;
2.202306711;48.850268929;Avenue des Jockeys / Rue du Docteur Debat;Garches, Hauts-de-Seine;2;True;0.52;4;True;
2.180266563;48.83818105;Avenue du Docteur Roux / Boulevard Raymond Poincaré D907;Garches, Hauts-de-Seine;3;False;0.0;0;True;
2.186878445;48.844591533;Avenue du Maréchal Leclerc / Grande Rue / Grande Rue / Avenue du Maréchal Leclerc / Grande Rue / Rue Athime Rué / Rue Athime Rué / Avenue du Maréchal Leclerc / Rue Athime Rué / Grande Rue;Garches, Hauts-de-Seine;4;True;0.48;4;True;
2.186487926;48.842956926;Avenue du Maréchal Leclerc / Rue de l'Abreuvoir / Rue Claude Liard / Avenue du Maréchal Leclerc;Garches, Hauts-de-Seine;1;True;0.56;4;True;
2.181674192;48.84110189;Avenue Henri Bergson / Grande Rue / Avenue Henri Bergson / Rue Pasteur / Rue de Marnes / Avenue Henri Bergson / Rue de Marnes / Grande Rue / Rue de Marnes / Rue Pasteur / Rue Pasteur / Grande Rue;Garches, Hauts-de-Seine;3;True;0.52;6;True;
2.185739669;48.839978629;Avenue Joffre / Avenue Foch / Avenue Joffre / Rue de Villeneuve / Rue de Villeneuve / Avenue Foch / Rue de Villeneuve / Avenue Joffre;Garches, Hauts-de-Seine;1;True;0.65;4;True;
2.186578897;48.838590867;Avenue Joffre / Avenue Pasteur / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur / Avenue Joffre / Avenue Pasteur / Boulevard du Général de Gaulle D907 / Boulevard du Général de Gaulle D907 / Avenue Joffre / Boulevard du Général de Gaulle D907 / Avenue Pasteur;Garches, Hauts-de-Seine;1;True;0.54;8;True;
2.180061491;48.839556692;Avenue Léonce Bucquet / Avenue du Docteur Roux / Avenue Léonce Bucquet / Rue Pasteur / Rue Pasteur / Avenue du Docteur Roux;Garches, Hauts-de-Seine;3;False;0.0;0;True;
2.168128382;48.837882396;Boulevard de la République D907 / Boulevard Raymond Poincaré D907 / Boulevard Raymond Poincaré D907 / Boulevard de la République D907;Garches, Hauts-de-Seine;3;True;0.42;2;True;
2.185179691;48.838378036;Boulevard du Général de Gaulle D907 / Boulevard Raymond Poincaré D907;Garches, Hauts-de-Seine;1;False;0.0;0;True;
2.199157125;48.841571967;Boulevard du Général de Gaulle D907 / Rue de la Porte Jaune D180 / Boulevard du Général de Gaulle D907 / Rue Pasteur D907;Garches, Hauts-de-Seine;4;True;0.74;2;True;
