latitude;longitude;intersection;nb_traversees;equipe
48.8518297;2.2054776;27373654;2;2
48.8506426;2.2042451;27373680;0;2
48.8499963;2.1978303;83043867;3;2
48.8497955;2.198767;83043871;1;2
48.8510243;2.1997337;83043872;1;2
48.8474699;2.1979979;83051596;1;2
48.847363;2.1978531;83051597;0;2
48.8472912;2.1978088;83051598;1;2
48.8402469;2.1926901;83058753;1;4
48.8398045;2.1909221;83058763;0;4
48.8384869;2.1718005;83058781;1;5
48.8384337;2.1712416;83058784;1;5
48.8428311;2.1713946;204014692;0;5
48.84704;2.1817998;204025012;1;3
48.8449114;2.1982838;237157358;0;4
48.843636;2.1989778;237164541;1;4
48.8468784;2.1952101;255027677;1;2
48.8469722;2.1942247;255027679;0;2
48.8466329;2.1927727;255027682;1;4
48.8464825;2.19221;255027683;2;4
48.8458673;2.1892684;255027688 / Rue Henri Regnault / Rue de Suresnes;3;3
48.8456556;2.1884435;255027691 / Rue de l'Église / Rue de Suresnes;1;3
48.8457284;2.1873896;255027696;0;3
48.8495139;2.1871614;255027788;0;3
48.8505043;2.1852948;255027792;2;3
48.8464259;2.1893256;255027857;1;3
48.847813;2.1896629;255027862;2;3
48.8507158;2.1907496;255027876;2;2
48.8514718;2.1915031;255027879;2;2
48.8486835;2.1877591;255027978;0;3
48.8492081;2.1868848;255027982;0;3
48.8476745;2.1841006;255028189;4;3
48.8480595;2.1824286;255028192;1;3
48.8450129;2.1867274;255028212 / Rue Athime Rué / Rue de Suresnes;4;3
48.8466542;2.1832511;255028260;1;3
48.8485574;2.1854618;255028295;0;3
48.8527621;2.1947588;255028377;1;2
48.8529181;2.1951134;255028378;1;2
48.8501429;2.2028786;255028417;1;2
48.8502588;2.2022948;255028418;2;2
48.8455248;2.1936775;255028551;0;4
48.8453138;2.1955758;255028559;1;4
48.8452601;2.1962046;255028561;2;4
48.8452397;2.1981339;255028564;1;4
48.8510024;2.2028204;297329189;1;2
48.8513939;2.1987888;297332024;2;2
48.8511718;2.1926669;297333394;0;2
48.8496467;2.199317;297334950;2;2
48.8479408;2.1990189;297335233;1;2
48.8491686;2.1985094;297335416;0;2
48.8438348;2.1912396;370315456;1;4
48.8452512;2.1933865;370315460;0;4
48.8449586;2.193815;370315461;1;4
48.842454;2.1924164;370315496;3;4
48.8409411;2.1910202;370315500;0;4
48.8411774;2.1908068;370315591;0;4
48.8416681;2.1881918;370315593;2;1
48.842691;2.1864271;370315594;4;1
48.8406202;2.1904526;370315597;0;4
48.8414038;2.1895891;370315599;0;4
48.8397969;2.1882793;370315648;0;1
48.8403247;2.1879592;370315668;2;1
48.8428486;2.1889263;370315674;1;4
48.8439639;2.1894799;370315677;2;4
48.841988;2.1963282;370315724;1;4
48.8440182;2.1892203;370315752;1;4
48.8421343;2.1873598;370315755;3;1
48.8401409;2.1867811;370315756;0;1
48.839995;2.1821807;370315919;0;1
48.8448093;2.1869665;370315993;1;3
48.8409367;2.1859415;370316016;2;1
48.8414532;2.1820951;370316043;1;1
48.8448461;2.1865143;370317080;1;3
48.845198;2.1846106;370317081;2;3
48.8453826;2.1836031;370317082;0;3
48.8463674;2.1810964;370317084;0;3
48.8429375;2.1864979;370317170;1;1
48.8436748;2.1849648;370317185;2;1
48.8441288;2.1854286;370317370;1;3
48.8410976;2.1816759;370317373;4;1
48.838202;2.1785396;370317377;0;5
48.8425062;2.1836529;370317568;0;1
48.843406;2.1846972;370318232;2;1
48.8437208;2.1834864;370318244;0;1
