longitude;latitude;intersection;Ville/Commune;equipe;ordre;pp_detecte;pp_confiance;nb_traversees;pp_image_ok;pp_erreur
2.319654654;48.813148791;Avenue Henri Ginoux D128 / Rue Carves / Avenue Henri Ginoux D128 / Rue Périer / Rue Carves / Avenue Henri Ginoux D128 / Rue Carves / Rue Périer / Rue Périer / Avenue Henri Ginoux D128;Montrouge, Hauts-de-Seine;1;1;True;0.48;5;True;
2.320149034;48.811705327;Rue Charles Floquet / Rue Victor Basch / Rue du Stade Buffalo / Rue Victor Basch / Rue Victor Basch / Rue Charles Floquet / Rue Victor Basch / Rue du Stade Buffalo;Montrouge, Hauts-de-Seine;1;2;True;0.63;3;True;
2.318931012;48.813338688;Rue Morel / Rue Périer;Montrouge, Hauts-de-Seine;1;3;True;0.69;2;True;
2.318923951;48.812027244;Avenue Henri Ginoux D128 / Rue Boileau / Rue Boileau / Avenue Henri Ginoux D128 / Rue Charles Floquet / Avenue Henri Ginoux D128 / Rue Charles Floquet / Rue Boileau;Montrouge, Hauts-de-Seine;1;4;True;0.65;3;True;
2.31844854;48.813493708;Rue Victor Hugo / Rue Périer;Montrouge, Hauts-de-Seine;1;5;True;0.45;5;True;
2.319636417;48.810877982;Rue Victor Basch / Rue des Frères Henry;Montrouge, Hauts-de-Seine;1;6;True;0.49;4;True;
2.318235051;48.81223822;Rue Morel / Rue Boileau;Montrouge, Hauts-de-Seine;1;7;True;0.57;1;True;
2.318433519;48.811218043;Rue des Frères Henry / Avenue Henri Ginoux D128 / Rue des Frères Henry / Rue Racine / Rue Racine / Avenue Henri Ginoux D128;Montrouge, Hauts-de-Seine;1;8;True;0.44;6;True;
2.317497966;48.812421573;Rue La Fontaine / Rue Boileau;Montrouge, Hauts-de-Seine;1;9;True;0.61;4;True;
2.31761382;48.815318;Avenue de la République D63 / Avenue Verdier D61 / Avenue Verdier D61 / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;10;True;0.62;4;True;
2.319108834;48.810029527;Avenue Marx Dormoy D62 / Avenue Marx Dormoy D161 / Rue Victor Basch / Avenue Marx Dormoy D62 / Rue Victor Basch / Rue du Colonel Fabien;Montrouge, Hauts-de-Seine;1;11;True;0.57;5;True;
2.317194302;48.814639892;Rue Couprie / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;12;True;0.63;2;True;
2.318124908;48.810783175;Rue Descartes / Avenue Henri Ginoux D128;Montrouge, Hauts-de-Seine;1;13;True;0.58;2;True;
2.316790305;48.813941923;Avenue de la République D63 / Rue Périer / Rue Périer / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;14;True;0.52;5;True;
2.316979843;48.81162216;Rue La Fontaine / Rue Racine / Rue Racine / Rue La Fontaine;Montrouge, Hauts-de-Seine;1;15;True;0.61;3;True;
2.316210938;48.813050445;Rue La Bruyère / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;16;True;0.44;6;True;
2.316737364;48.811163511;Rue La Fontaine / Rue Descartes;Montrouge, Hauts-de-Seine;1;17;True;0.55;1;True;
2.31602063;48.812702094;Avenue de Verdun / Avenue de la République D63 / Rue Boileau / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;18;True;0.48;6;True;
2.317635922;48.809935883;Avenue Marx Dormoy D62 / Avenue Henri Ginoux D128;Montrouge, Hauts-de-Seine;1;19;True;0.47;10;True;
2.315887604;48.812391925;Avenue de la République D63 / Avenue de Verdun / Rue de Sévigné / Avenue de la République D63 / Rue de Sévigné / Avenue de Verdun;Montrouge, Hauts-de-Seine;1;20;True;0.43;5;True;
2.316168423;48.815726764;Avenue Verdier D61 / Rue Marcelin Berthelot / Rue de Saisset / Avenue Verdier D61 / Rue Marcelin Berthelot / Avenue Verdier D61;Montrouge, Hauts-de-Seine;1;21;True;0.55;4;True;
2.316413476;48.810716125;Avenue de Verdun / Rue La Fontaine / Avenue de Verdun / Rue Molière / Rue Molière / Rue La Fontaine;Montrouge, Hauts-de-Seine;1;22;True;0.46;8;True;
2.31558637;48.81508622;Rue de Saisset / Rue Couprie;Montrouge, Hauts-de-Seine;1;23;True;0.56;2;True;
2.315581074;48.811993027;Avenue de la République D63 / Rue Racine / Avenue de Verdun / Rue Racine / Rue Racine / Avenue de Verdun;Montrouge, Hauts-de-Seine;1;24;True;0.55;6;True;
2.315142075;48.814404934;Rue de Saisset / Rue Périer / Rue Fénelon / Rue Périer;Montrouge, Hauts-de-Seine;1;25;True;0.5;5;True;
2.314756059;48.813174744;Rue Fénelon / Rue Boileau / Rue Fénelon / Rue La Bruyère;Montrouge, Hauts-de-Seine;1;26;True;0.63;4;True;
2.315217057;48.811430189;Rue Pascal / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;27;True;0.45;6;True;
2.314467477;48.812673801;Rue Fénelon / Rue de Sévigné;Montrouge, Hauts-de-Seine;1;28;True;0.5;5;True;
2.314989194;48.811053202;Avenue de la République D63 / Rue Molière / Rue Molière / Avenue de la République D63;Montrouge, Hauts-de-Seine;1;29;True;0.49;6;True;
2.314200965;48.81467766;Rue Constant Juif / Rue Périer;Montrouge, Hauts-de-Seine;1;30;True;0.29;1;True;
2.314263087;48.812347557;Rue Fénelon / Rue Racine;Montrouge, Hauts-de-Seine;1;31;True;0.51;8;True;
2.313852828;48.813406281;Rue Auber / Rue Boileau;Montrouge, Hauts-de-Seine;1;32;False;0.0;0;True;
2.31436552;48.811195878;Rue Molière / Rue Georges Messier;Montrouge, Hauts-de-Seine;1;33;True;0.29;2;True;
2.313924701;48.811785248;Rue Fénelon / Rue Pascal;Montrouge, Hauts-de-Seine;1;34;True;0.37;4;True;
2.313347919;48.812600491;Rue Auber / Rue Racine;Montrouge, Hauts-de-Seine;1;35;True;0.46;2;True;
2.31365362;48.811412874;Rue Fénelon / Rue Molière;Montrouge, Hauts-de-Seine;1;36;True;0.39;6;True;
2.313309069;48.810913749;Rue Fénelon / Rue Georges Messier;Montrouge, Hauts-de-Seine;1;37;False;0.0;0;True;
2.312755651;48.811667742;Rue Auber / Rue Molière;Montrouge, Hauts-de-Seine;1;38;True;0.47;1;True;
2.312847815;48.81026352;Avenue Marx Dormoy D62 / Rue Fénelon;Montrouge, Hauts-de-Seine;1;39;True;0.54;5;True;
2.317268593;48.817561437;Rue Marcelin Berthelot / Rue Sylvine Candas / Rue Sylvine Candas / Rue Marcelin Berthelot;Montrouge, Hauts-de-Seine;2;1;True;0.41;3;True;
2.316957971;48.817844481;Avenue Jean Jaurès D63A / Rue René Barthelemy / Avenue Jean Jaurès D63A / Rue Sylvine Candas / Rue René Barthelemy / Avenue Jean Jaurès D63A;Montrouge, Hauts-de-Seine;2;2;True;0.54;1;True;
