longitude,latitude,intersection,Ville/Commune
2.284515318,49.871506061,Avenue d'Allemagne / Avenue d'Italie,"Amiens, Somme"
2.284108311,49.870527989,Avenue d'Allemagne / Rond-Point de l'Europe,"Amiens, Somme"
2.3248471,49.884405927,Avenue d'Edimbourg / Avenue de Dublin,"Amiens, Somme"
2.324077142,49.884692297,Avenue d'Edimbourg / Avenue de Londres,"Amiens, Somme"
2.284535514,49.871508359,Avenue d'Espagne / Avenue d'Allemagne,"Amiens, Somme"
2.2845258,49.87151,Avenue d'Espagne / Avenue d'Italie,"Amiens, Somme"
2.284520115,49.871516787,Avenue d'Italie / Avenue d'Allemagne,"Amiens, Somme"
2.295197217,49.870871123,Avenue de Belgique / Avenue d'Irlande,"Amiens, Somme"
2.290436183,49.870124062,Avenue de Belgique / Avenue du Royaume-Uni,"Amiens, Somme"
2.254966571,49.914385963,Avenue de Bourgogne / Avenue de la Commune de Paris,"Amiens, Somme"
2.252538264,49.914397894,Avenue de Bourgogne / Avenue du Périgord,"Amiens, Somme"
2.30262298,49.911647131,Avenue de l'Europe / Avenue de la Paix,"Amiens, Somme"
2.301988492,49.907479115,Avenue de l'Europe / Avenue du Général de Gaulle,"Amiens, Somme"
2.254888787,49.914370404,Avenue de la Commune de Paris / Avenue de Bourgogne,"Amiens, Somme"
2.254785008,49.913022821,Avenue de la Commune de Paris / Avenue du Pays d'Auge,"Amiens, Somme"
2.326674453,49.909128268,Avenue de la Défense Passive D929 / Avenue du Petit Fort,"Amiens, Somme"
2.318326586,49.90690329,Avenue de la Défense Passive D929 / Boulevard de Roubaix D1,"Amiens, Somme"
2.264380877,49.900374105,Avenue de la Licorne / Rond-Point de Grâce,"Amiens, Somme"
2.302588525,49.911647235,Avenue de la Paix / Avenue de l'Europe,"Amiens, Somme"
2.324065795,49.884682615,Avenue de Londres / Avenue d'Edimbourg,"Amiens, Somme"
2.266091094,49.874600704,Avenue des Facultés D8 / Avenue Paul Claudel,"Amiens, Somme"
2.281454478,49.87417697,Avenue du 14 Juillet 1789 D1001 / Avenue d'Italie,"Amiens, Somme"
2.284959235,49.881642724,Avenue du 14 Juillet 1789 D1001 / Boulevard Chateaudun,"Amiens, Somme"
2.284968628,49.881637589,Avenue du 14 Juillet 1789 D1001 / Boulevard de Dury,"Amiens, Somme"
2.283179356,49.868502726,Avenue du Danemark / Avenue de Grèce,"Amiens, Somme"
2.283979315,49.870102645,Avenue du Danemark / Rond-Point de l'Europe,"Amiens, Somme"
2.301981362,49.907483947,Avenue du Général de Gaulle / Avenue de l'Europe,"Amiens, Somme"
2.255985364,49.91699455,Avenue du Languedoc / Avenue de la Commune de Paris,"Amiens, Somme"
2.250705854,49.916388546,Avenue du Languedoc / Avenue Jules Valès,"Amiens, Somme"
2.283684414,49.87032364,Avenue du Luxembourg / Rond-Point de l'Europe,"Amiens, Somme"
2.254870959,49.913012973,Avenue du Pays d'Auge / Avenue de la Commune de Paris,"Amiens, Somme"
2.25174252,49.912793193,Avenue du Pays d'Auge / Avenue du Périgord,"Amiens, Somme"
2.252220152,49.914221555,Avenue du Périgord / Avenue de Picardie,"Amiens, Somme"
2.287185254,49.872935856,Avenue du Royaume-Uni / Avenue d'Espagne,"Amiens, Somme"
2.284179632,49.901568921,Avenue Georges Pompidou D1235 / Avenue Pierre Mendès France D1235,"Amiens, Somme"
2.250812538,49.916396565,Avenue Jules Valès / Avenue du Languedoc,"Amiens, Somme"
2.266082317,49.874658478,Avenue Paul Claudel D8 / Avenue des Facultés D8,"Amiens, Somme"
2.281771346,49.875591413,Avenue Paul Claudel / Avenue du 14 Juillet 1789 D1001,"Amiens, Somme"
2.271811796,49.874800806,Avenue Paul Claudel / Boulevard Ambroise Paré,"Amiens, Somme"
2.28274043,49.89689014,Avenue Salvador Allende / Boulevard des Fédérés,"Amiens, Somme"
2.267397737,49.879410821,Avenue Valéry Giscard d'Estaing / Boulevard Ambroise Paré,"Amiens, Somme"
2.266946425,49.879477083,Boulevard Ambroise Paré / Avenue Valéry Giscard d'Estaing,"Amiens, Somme"
2.318437627,49.906737327,Boulevard de Beauvillé / Avenue de la Défense Passive D929,"Amiens, Somme"
2.284982379,49.881623195,Boulevard de Dury / Avenue du 14 Juillet 1789 D1001,"Amiens, Somme"
2.299512177,49.902022831,Boulevard des Fusillés / Avenue du Général de Gaulle,"Amiens, Somme"
2.284621014,49.892704393,Boulevard Guyencourt / Avenue du Général Foy,"Amiens, Somme"
2.264137724,49.900276261,Rond-Point de Grâce / Avenue de la Licorne,"Amiens, Somme"
2.263545246,49.90063386,Rond-Point de Grâce / Avenue François Mitterand,"Amiens, Somme"
2.284094682,49.870528899,Rond-Point de l'Europe / Avenue d'Allemagne,"Amiens, Somme"
2.283902025,49.870115979,Rond-Point de l'Europe / Avenue du Danemark,"Amiens, Somme"
2.283721379,49.870416078,Rond-Point de l'Europe / Avenue du Luxembourg,"Amiens, Somme"
