lat,lon,nom,image
48.8633703,2.4791442,Allée Anne Godeau / Allée Jean-Pierre Bernard,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_000.jpg
48.8627497,2.480027,Allée Anne Godeau / Rue Jules Guesde,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_001.jpg
48.8629731,2.4782303,Allée Anne Godeau / Rue Jules Guesde,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_002.jpg
48.8533515,2.4202527,Allée Bessie Smith / Rue Émile Zola,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_003.jpg
48.8768566,2.4651041,Allée Blériot / Boulevard de la Boissière,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_004.jpg
48.865005,2.4807069,Allée Daniel Fery / Place le Morillon,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_005.jpg
48.8644548,2.4810715,Allée Daniel Fery / Place le Morillon,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_006.jpg
48.8638887,2.4813152,Allée Daniel Fery / Rue Pierre Brossolette,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_007.jpg
48.8623213,2.4523594,Allée de la Croix / Allée de la Porte,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_008.jpg
48.8624608,2.4517989,Allée de la Croix / Allée du Rocher,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_009.jpg
48.8615397,2.4518417,Allée de la Porte / Allée des Petits Arbres,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_010.jpg
48.8619294,2.452109,Allée de la Porte / Allée des Platanes,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_011.jpg
48.8609747,2.4514431,Allée de la Porte / Allée du Monument,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_012.jpg
48.8627274,2.4525328,Allée de la Porte / Allée du Nord,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_013.jpg
48.8629127,2.4511612,Allée de la Pyramide / Allée du Carré Militaire,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_014.jpg
48.8634662,2.4688073,Allée de Port Royal / Allée Lancelot,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_015.jpg
48.8629124,2.4689181,Allée de Port Royal / Rue de la Côte du Nord,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_016.jpg
48.8775997,2.4624026,Allée des Fleurs / Rue de la Renardière,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_017.jpg
48.857464,2.4648782,Allée des Noisetiers / Allée des Poiriers,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_018.jpg
48.8565042,2.4626548,Allée des Pêchers / Allée des Tilliers,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_019.jpg
48.8576845,2.4644578,Allée des Pêchers / Rue Lenain de Tillemont,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_020.jpg
48.8619349,2.4505663,Allée des Petits Arbres / Allée du Carré Militaire,C:\Users\thiba\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Montreuil_30-06-2026_11h26-21\fichier_analyse_Montreuil_021.jpg
