lat,lon,nom,image
48.882908591,2.27324303,AllÃ©e d'OrlÃ©ans / Rue d'OrlÃ©ans,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_000.jpg
48.896374526,2.270678909,AllÃ©e des Impressionnistes / Boulevard Georges Seurat,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_001.jpg
48.896903563,2.270084586,AllÃ©e des Impressionnistes / Boulevard Vital Bouhot,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_002.jpg
48.882407225,2.268743182,AllÃ©e Ferrand / Avenue Charles de Gaulle,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_003.jpg
48.883407998,2.273518099,Avenue Achille Peretti / Avenue du Roule,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_004.jpg
48.886352768,2.261734575,Avenue Achille Peretti / Place du GÃ©nÃ©ral Gouraud,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_005.jpg
48.883416952,2.27351068,Avenue Achille Peretti / Place Winston Churchill,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_006.jpg
48.885748886,2.263362475,Avenue Achille Peretti / Rue Chartran,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_007.jpg
48.88340419,2.273506293,Avenue Achille Peretti / Rue d'OrlÃ©ans,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_008.jpg
48.885642289,2.26383414,Avenue Achille Peretti / Rue de l'Ã‰glise,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_009.jpg
48.883963721,2.271049192,Avenue Achille Peretti / Rue DevÃ¨s,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\Neuilly_sur_Seine_2026-06-25_10-27-44\fichier_analyse_Neuilly_sur_Seine_010.jpg
