lat,lon,nom,image
48.842130147,2.187364881,Avenue  de  Lorraine  /  Avenue  d'Alsace,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\000_Avenue_de_Lorraine_Avenue_d_Alsace.jpg
48.842677932,2.186438811,Avenue  d'Alsace  /  Avenue  Foch / Avenue  d'Alsace  /  Jardin  de  la  Mairie / Avenue  d'Alsace  /  Rue  Georges  Clemenceau / Avenue  Foch  /  Avenue   du  Maréchal  Leclerc / Avenue  Foch  /  Jardin  de  la  Mairie / Avenue  Foch  /  Rue  de  l'Abreuvoir / Jardin  de  la  Mairie  /  Avenue  Foch / Rue  Georges  Clemenceau  /  Avenue  Foch,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\001_Avenue_d_Alsace_Avenue_Foch_Avenue_d_Alsace_Jardin_de_la_Mai.jpg
48.842956926,2.186487926,Avenue   du  Maréchal  Leclerc  /  Rue  de  l'Abreuvoir / Rue  Claude   Liard  /  Avenue   du  Maréchal  Leclerc,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\002_Avenue_du_Maréchal_Leclerc_Rue_de_l_Abreuvoir_Rue_Claude_Lia.jpg
48.843635567,2.186699047,Passage  Albert  Lanoe  /  Avenue   du  Maréchal  Leclerc,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\003_Passage_Albert_Lanoe_Avenue_du_Maréchal_Leclerc.jpg
48.844591533,2.186878445,Avenue   du  Maréchal  Leclerc  /  Grande  Rue  / Grande  Rue   /  Avenue   du  Maréchal  Leclerc / Rue  Athime  Rué  /  Avenue   du  Maréchal  Leclerc,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\004_Avenue_du_Maréchal_Leclerc_Grande_Rue_Grande_Rue_Avenue_du_M.jpg
48.84484698,2.186514003,Avenue  de  Beauval  /  Place  Charles   Devos,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\005_Avenue_de_Beauval_Place_Charles_Devos.jpg
48.845207116,2.184629247,Avenue  de  Beauval  /  Avenue  des  Coteaux / Avenue  des  Coteaux  /  Avenue  de  Beauval,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\006_Avenue_de_Beauval_Avenue_des_Coteaux_Avenue_des_Coteaux_Aven.jpg
48.845382622,2.183603112,Avenue  de  Beauval  /  Rue  de  L'Ermitage / Avenue  de  Beauval  /  Sente  de  la  Plaine ,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\007_Avenue_de_Beauval_Rue_de_L_Ermitage_Avenue_de_Beauval_Sente_.jpg
48.844292567,2.183697322,Avenue  des  Coteaux  /  Impasse  du  Regard / Avenue  des  Coteaux  /  Sente  de  la  Plaine ,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\008_Avenue_des_Coteaux_Impasse_du_Regard_Avenue_des_Coteaux_Sent.jpg
48.843732399,2.183521369,Rue   du  Regard  /  Avenue  des  Coteaux,C:\Users\martinant de preneuf\OneDrive - Fondation EPF\Bureau\DefiAccessMaison\Prototype_Appli_DefisAccess\src\..\dataset\images\garches\009_Rue_du_Regard_Avenue_des_Coteaux.jpg
