intersection_id_osm,latitude,longitude,nb_passages_pietons
27373654,48.8518297,2.2054776,4
27373680,48.8506426,2.2042451,0
83043867,48.8499963,2.1978303,3
83043871,48.8497955,2.198767,1
83043872,48.8510243,2.1997337,1
83051596,48.8474699,2.1979979,2
83051597,48.847363,2.1978531,0
83051598,48.8472912,2.1978088,3
83058763,48.8398045,2.1909221,0
83058781,48.8384869,2.1718005,2
83058784,48.8384337,2.1712416,1
204014692,48.8428311,2.1713946,3
204025012,48.84704,2.1817998,1
237157358,48.8449114,2.1982838,1
237164541,48.843636,2.1989778,2
255027677,48.8468784,2.1952101,1
255027679,48.8469722,2.1942247,0
255027682,48.8466329,2.1927727,1
255027683,48.8464825,2.19221,2
255027688,48.8458673,2.1892684,2
255027691,48.8456556,2.1884435,0
255027696,48.8457284,2.1873896,0
255027788,48.8495139,2.1871614,0
255027792,48.8505043,2.1852948,2
255027857,48.8464259,2.1893256,1
255027862,48.847813,2.1896629,2
255027876,48.8507158,2.1907496,2
255027879,48.8514718,2.1915031,2
255027978,48.8486835,2.1877591,0
255027982,48.8492081,2.1868848,0
255028189,48.8476745,2.1841006,4
255028192,48.8480595,2.1824286,1
255028212,48.8450129,2.1867274,3
255028260,48.8466542,2.1832511,1
255028295,48.8485574,2.1854618,0
255028377,48.8527621,2.1947588,1
255028378,48.8529181,2.1951134,1
255028417,48.8501429,2.2028786,1
255028418,48.8502588,2.2022948,2
255028551,48.8455248,2.1936775,0
255028559,48.8453138,2.1955758,1
255028561,48.8452601,2.1962046,2
255028564,48.8452397,2.1981339,1
297329189,48.8510024,2.2028204,1
297332024,48.8513939,2.1987888,2
297333394,48.8511718,2.1926669,0
297334950,48.8496467,2.199317,2
297335233,48.8479408,2.1990189,1
297335416,48.8491686,2.1985094,0
370315456,48.8438348,2.1912396,1
370315460,48.8452512,2.1933865,0
370315461,48.8449586,2.193815,1
370315496,48.842454,2.1924164,3
370315500,48.8409411,2.1910202,0
370315591,48.8411774,2.1908068,0
370315593,48.8416681,2.1881918,2
370315594,48.842691,2.1864271,4
370315597,48.8406202,2.1904526,0
370315599,48.8414038,2.1895891,0
370315648,48.8397969,2.1882793,0
370315668,48.8403247,2.1879592,2
370315674,48.8428486,2.1889263,1
370315677,48.8439639,2.1894799,2
370315724,48.841988,2.1963282,1
370315752,48.8440182,2.1892203,1
370315755,48.8421343,2.1873598,3
370315756,48.8401409,2.1867811,0
370315919,48.839995,2.1821807,0
370315993,48.8448093,2.1869665,1
370316016,48.8409367,2.1859415,2
370316043,48.8414532,2.1820951,1
370317080,48.8448461,2.1865143,1
370317081,48.845198,2.1846106,2
370317082,48.8453826,2.1836031,0
370317084,48.8463674,2.1810964,0
370317170,48.8429375,2.1864979,1
370317185,48.8436748,2.1849648,2
370317373,48.8410976,2.1816759,4
370317377,48.838202,2.1785396,0
370317568,48.8425062,2.1836529,0
370318232,48.843406,2.1846972,2
370318244,48.8437208,2.1834864,0
370318256,48.8436135,2.1833637,0
370318258,48.8442764,2.1837607,1
370318268,48.843894,2.182568,0
