intersection_id_osm,latitude,longitude,nb_passages_pietons
35157845,48.7956546,2.1389796,3
35157888,48.7946301,2.1409538,0
35157898,48.7880052,2.1500453,1
35157905,48.7916789,2.1460625,3
35157914,48.7871625,2.1502075,0
35157957,48.7866925,2.1517025,0
35157962,48.7875049,2.1505077,0
35347856,48.7884555,2.1336842,0
50685023,48.8193477,2.1504228,0
50685028,48.8188917,2.1502894,1
59723132,48.7857148,2.1542588,0
59723134,48.7859764,2.1541312,0
59723136,48.7862872,2.1527234,0
59723149,48.7890554,2.1523653,0
59723150,48.7893577,2.1525396,0
59741022,48.7906001,2.1546409,2
59741023,48.7910808,2.1554193,1
59741024,48.7917014,2.1560783,3
59741025,48.7935789,2.1535134,4
59741026,48.7902374,2.1477738,0
60032470,48.7887018,2.1339227,0
60032471,48.7876786,2.1332682,5
60032479,48.7888996,2.1260414,1
60032480,48.7889831,2.1258695,2
60579481,48.7884848,2.1293786,0
74895144,48.7865904,2.1518865,0
74906073,48.7980783,2.1348024,3
81079742,48.7995142,2.1332971,4
81079817,48.807068,2.1239805,0
81079847,48.8099291,2.1257332,0
81079882,48.8150583,2.1292278,2
81079895,48.8154218,2.1290169,1
81079903,48.8154184,2.1287757,0
81079908,48.8153746,2.1286612,0
81079973,48.8020559,2.1308824,0
81079980,48.803516,2.1318001,2
81079985,48.802926,2.1339715,1
81079986,48.8027522,2.1345769,2
81080024,48.8049914,2.1359637,3
81080038,48.8052537,2.1360434,0
81080043,48.8050401,2.1324944,0
81080050,48.8049025,2.1311571,2
81080064,48.804761,2.1325515,3
86874974,48.801327,2.131709,1
96511167,48.804444,2.124341,0
96511169,48.8046728,2.1240331,1
96512097,48.8031166,2.1263714,0
96512098,48.8022446,2.1296351,1
96512099,48.8019267,2.1308129,1
96512108,48.7984607,2.1580485,1
96512112,48.7994059,2.1597606,0
96512797,48.7984175,2.1534418,0
96512799,48.7982148,2.1454507,0
96512802,48.8032461,2.1264527,1
96513454,48.8044565,2.1268402,1
96513782,48.8045893,2.1262571,0
96514891,48.8150398,2.1286023,1
96527663,48.8056356,2.1411977,0
96528482,48.8079999,2.1453618,0
96528486,48.8057479,2.141244,0
96529537,48.8016671,2.1318049,0
96529538,48.8017878,2.1318759,0
96529838,48.8018551,2.1316253,0
96529839,48.8017306,2.1315487,0
96530607,48.8005059,2.1362259,0
96530609,48.8006046,2.1362751,0
105355898,48.8021248,2.1154258,0
105355899,48.7987812,2.1275221,2
105356397,48.8032894,2.1036357,0
105358544,48.8032392,2.1071561,0
105358545,48.8033774,2.1056361,0
105406979,48.7942044,2.0720369,0
105406985,48.7940512,2.071863,0
105406986,48.7940684,2.0719992,0
105435643,48.7933934,2.1238619,1
105435644,48.8023754,2.1297158,1
105435646,48.8049873,2.1311837,0
105435648,48.8060057,2.1316713,2
105436276,48.8049737,2.1310345,0
105436277,48.8048908,2.1310115,2
125609235,48.7911642,2.1078524,0
125611379,48.7907613,2.1071582,0
125613961,48.7911735,2.1076785,0
125626637,48.7939822,2.1242688,4
125626912,48.7934698,2.1260331,3
125627243,48.7964607,2.1280235,4
125627836,48.7945343,2.1298675,2
125627839,48.7958254,2.125523,4
125627896,48.7992866,2.1257718,2
125628308,48.7963419,2.1237857,0
125629781,48.7996482,2.1244401,4
125629783,48.7978801,2.1232625,3
125629785,48.7967283,2.1224858,1
125629787,48.794264,2.1208324,1
125629793,48.7924547,2.1179654,0
125630187,48.7938799,2.1221492,3
125630626,48.7948784,2.1212462,2
125630627,48.7944997,2.1225492,3
125630659,48.7961049,2.1220599,3
125631040,48.795718,2.1233664,1
125631041,48.7952053,2.1250971,4
125631042,48.7946877,2.1268451,4
125631044,48.793911,2.129467,2
125631587,48.7932987,2.1290871,2
125631589,48.7940778,2.1264398,4
125631592,48.7945953,2.1246814,4
125631594,48.7951054,2.1229572,4
125631596,48.7954949,2.1216622,1
125631654,48.7958472,2.1276158,1
125635005,48.7928772,2.1286626,0
125656127,48.7924062,2.1284837,0
125656128,48.7922263,2.128269,0
125656131,48.7917588,2.1262774,0
125656145,48.7899602,2.1245957,0
125656146,48.7896059,2.1250084,0
125659329,48.7885089,2.1289354,0
125665239,48.7924043,2.1285617,0
129534734,48.7974912,2.1245625,4
129534736,48.7969735,2.1262929,4
129534737,48.7957012,2.1306095,3
129542315,48.7967223,2.1271325,4
129545479,48.7937364,2.1251294,2
129545569,48.794345,2.125532,1
129546091,48.7942278,2.1234536,4
129546093,48.7936146,2.1230487,2
129586811,48.7941322,2.1207493,1
129894452,48.7924869,2.1180632,0
129897837,48.7922271,2.1183588,0
129898450,48.7888066,2.1171568,0
139458486,48.7844423,2.1058694,0
139458489,48.7842307,2.1060209,0
139460608,48.7880403,2.1055733,0
139463905,48.7834296,2.1063063,0
139463926,48.7807929,2.0994665,0
139489273,48.7860448,2.1050805,0
139489274,48.7859978,2.1051563,0
139489275,48.7859743,2.1056702,1
139489276,48.7860027,2.1057349,0
139489279,48.7861984,2.1059083,1
139489282,48.7864162,2.1058384,1
139489283,48.7864765,2.1057612,0
139489286,48.7865121,2.1051916,0
139489289,48.7863343,2.1049864,1
139491689,48.7859828,2.1043816,1
139492367,48.7861282,2.1046454,1
139492639,48.786251,2.1044859,0
150718230,48.8008004,2.0766273,1
156745457,48.8007313,2.0749859,0
158520542,48.8008762,2.1200339,2
158520547,48.8035326,2.1216804,0
